Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
2,0,Elite Instructor,Theros Beyond Death,49,Near Mint,English,,,,,,,,$0.00
1,0,Elite Spellbinder,Strixhaven: School of Mages,17,Near Mint,English,,,,,,,,$0.00
1,0,Elspeth's Nightmare,Theros Beyond Death,91,Near Mint,English,,,,,,,,$0.00
1,0,Elturgard Ranger,Adventures in the Forgotten Realms,182,Near Mint,English,,,,,,,,$0.00
1,0,Elvish Aberration,Masters 25,167,Near Mint,English,,,,,,,,$0.00
1,0,Elvish Visionary,Mystery Booster,1195,Near Mint,English,,,,,,,,$0.00
1,0,Elvish Visionary,Commander Legends,223,Near Mint,English,,,,,,,,$0.00
1,0,Embodiment of Spring,Khans of Tarkir,39,Near Mint,English,,,,,,,,$0.00
1,0,"Emry, Lurker of the Loch",Kamigawa: Neon Dynasty Commander,91,Near Mint,English,,,,,,,,$0.00
2,0,End the Festivities,Innistrad: Crimson Vow,155,Near Mint,English,,,,,,,,$0.00
1,0,Enduring Sliver,Modern Horizons,6,Near Mint,English,,,,,,,,$0.00
1,0,Enlarge,Jumpstart,392,Near Mint,English,,,,,,,,$0.00
5,0,Enormous Energy Blade,Kamigawa: Neon Dynasty,96,Near Mint,English,,,,,,,,$0.00
1,0,Enraged Ceratok,Ravnica Allegiance,125,Near Mint,English,,,,,,,,$0.00
1,0,Enthralling Victor,Mystery Booster,916,Near Mint,English,,,,,,,,$0.00
2,0,Enthusiastic Mechanaut,Kamigawa: Neon Dynasty,218,Near Mint,English,,,,,,,,$0.00
1,0,Entourage of Trest,Commander Legends,224,Near Mint,English,,,,,,,,$0.00
4,0,Epochrasite,Future Sight,162,Near Mint,English,,,,,,,,$0.00
8,0,Era of Enlightenment // Hand of Enlightenment,Kamigawa: Neon Dynasty,11,Near Mint,English,,,,,,,,$0.00
1,0,Eradicator Valkyrie,Promo Pack: Kaldheim,94,Near Mint,English,,,,,,,,$0.00
1,0,Erstwhile Trooper,Guilds of Ravnica,169,Near Mint,English,,,,,,,,$0.00
1,0,"Eruth, Tormented Prophet",Innistrad: Crimson Vow,342,Near Mint,English,,,,,,,,$0.00
1,0,Escape Velocity,Theros Beyond Death,132,Near Mint,English,,,,,,,,$0.00
1,0,Esper Sentinel,Modern Horizons 2,12,Near Mint,English,,,,,,,,$0.00
2,0,Essence Capture,Kamigawa: Neon Dynasty,52,Near Mint,English,,,,,,,,$0.00
2,0,Essence Infusion,Strixhaven: School of Mages,69,Near Mint,English,,,,,,,,$0.00
1,0,Estwald Shieldbasher,Innistrad: Crimson Vow,11,Near Mint,English,,,,,,,,$0.00
1,0,"Etali, Primal Storm",Media Inserts,153,Near Mint,English,foil,,,,,,,$0.00
1,0,Eternal Thirst,Jumpstart,229,Near Mint,English,,,,,,,,$0.00
1,0,Eternal Witness,Commander Legends,425,Near Mint,English,,,,,,,,$0.00
4,0,Ethereal Armor,Pioneer Challenge Decks 2021,2,Near Mint,English,,,,,,,,$0.00
1,0,Etherium Sculptor,Kamigawa: Neon Dynasty Commander,92,Near Mint,English,,,,,,,,$0.00
3,0,Etherium Spinner,Modern Horizons 2,40,Near Mint,English,,,,,,,,$0.00
1,0,Ethersworn Sphinx,Modern Horizons 2,195,Near Mint,English,,,,,,,,$0.00
1,0,Eureka Moment,Strixhaven: School of Mages,184,Near Mint,English,,,,,,,,$0.00
1,0,Eureka Moment,Strixhaven: School of Mages,184,Near Mint,English,foil,,,,,,,$0.00
1,0,Everquill Phoenix,Ikoria: Lair of Behemoths,374,Near Mint,English,,,,,,,,$0.00
1,0,Evolution Sage,War of the Spark,159,Near Mint,English,,,,,,,,$0.00
1,0,Evolving Wilds,Commander 2019,241,Near Mint,English,,,,,,,,$0.00
1,0,Evolving Wilds,"",,Near Mint,English,,,,,,,,$0.00
1,0,Evolving Wilds,Commander Legends,482,Near Mint,English,,,,,,,,$0.00
2,0,Evolving Wilds,Battle for Zendikar,236,Near Mint,English,,,,,,,,$0.00
8,0,Evolving Wilds,Adventures in the Forgotten Realms,256,Near Mint,English,,,,,,,,$0.00
3,0,Evolving Wilds,Adventures in the Forgotten Realms,353,Near Mint,English,,,,,,,,$0.00
1,0,Evolving Wilds,Adventures in the Forgotten Realms,353,Near Mint,English,foil,,,,,,,$0.00
1,0,Evolving Wilds,Innistrad: Midnight Hunt,261,Near Mint,English,foil,,,,,,,$0.00
3,0,Evolving Wilds,Innistrad: Crimson Vow,263,Near Mint,English,,,,,,,,$0.00
1,0,Excavated Wall,Strixhaven: School of Mages,255,Near Mint,English,,,,,,,,$0.00
1,0,Exclude,Jumpstart,152,Near Mint,English,,,,,,,,$0.00
2,0,Exhilarating Elocution,Strixhaven: School of Mages,185,Near Mint,English,,,,,,,,$0.00
1,0,Exotic Orchard,Commander 2019,242,Near Mint,English,,,,,,,,$0.00
1,0,Exotic Orchard,Commander 2020,273,Near Mint,English,,,,,,,,$0.00
1,0,Exotic Orchard,Kamigawa: Neon Dynasty Commander,168,Near Mint,English,,,,,,,,$0.00
2,0,Expanded Anatomy,Strixhaven: School of Mages,2,Near Mint,English,,,,,,,,$0.00
2,0,Expedition Champion,Zendikar Rising,138,Near Mint,English,,,,,,,,$0.00
2,0,Expedition Diviner,Zendikar Rising,57,Near Mint,English,,,,,,,,$0.00
1,0,Expedition Skulker,Zendikar Rising,101,Near Mint,English,,,,,,,,$0.00
2,0,Expel,Strixhaven: School of Mages,18,Near Mint,English,,,,,,,,$0.00
1,0,Expel,Strixhaven: School of Mages,18,Near Mint,English,foil,,,,,,,$0.00
3,0,Experimental Synthesizer,Kamigawa: Neon Dynasty,138,Near Mint,English,,,,,,,,$0.00
1,0,Explore,Jumpstart,393,Near Mint,English,,,,,,,,$0.00
1,0,Explore,Commander Legends,426,Near Mint,English,,,,,,,,$0.00
1,0,Explosion of Riches,Commander Legends,176,Near Mint,English,,,,,,,,$0.00
7,0,Explosive Entry,Kamigawa: Neon Dynasty,139,Near Mint,English,,,,,,,,$0.00
1,0,Explosive Welcome,Strixhaven: School of Mages,100,Near Mint,English,foil,,,,,,,$0.00
1,0,Expose to Daylight,Ravnica Allegiance,8,Near Mint,English,,,,,,,,$0.00
1,0,Expressive Iteration,Strixhaven: School of Mages,186,Near Mint,English,foil,,,,,,,$0.00
1,0,Exquisite Huntmaster,Commander Legends,122,Near Mint,English,,,,,,,,$0.00
1,0,Extruder,Modern Horizons 2,296,Near Mint,English,,,,,,,,$0.00
1,0,Eyeblight Cullers,Commander Legends,124,Near Mint,English,,,,,,,,$0.00
1,0,Eyetwitch,Strixhaven: School of Mages,70,Near Mint,English,,,,,,,,$0.00
1,0,Fact or Fiction,Commander Legends,396,Near Mint,English,,,,,,,,$0.00
3,0,Fade into Antiquity,Kamigawa: Neon Dynasty,182,Near Mint,English,,,,,,,,$0.00
1,0,Fade into Antiquity,Kamigawa: Neon Dynasty,182,Near Mint,English,foil,,,,,,,$0.00
3,0,Fae of Wishes // Granted,Throne of Eldraine,44,Near Mint,English,,,,,,,,$0.00
1,0,Fae Offering,Modern Horizons 2,158,Near Mint,English,,,,,,,,$0.00
1,0,Faerie Conclave,Mystery Booster,1666,Near Mint,English,,,,,,,,$0.00
2,0,Faerie Conclave,Tenth Edition,351,Near Mint,English,,,,,,,,$0.00
1,0,Faerie Duelist,Ravnica Allegiance,39,Near Mint,English,,,,,,,,$0.00
1,0,Faerie Guidemother // Gift of the Fae,Throne of Eldraine,11,Near Mint,English,,,,,,,,$0.00
1,0,Faerie Miscreant,Core Set 2020,58,Near Mint,English,,,,,,,,$0.00
2,0,Faerie Vandal,Throne of Eldraine,45,Near Mint,English,,,,,,,,$0.00
2,0,Fairgrounds Patrol,Modern Horizons 2,13,Near Mint,English,,,,,,,,$0.00
1,0,Faith of the Devoted,Commander 2019,112,Near Mint,English,,,,,,,,$0.00
1,0,Faith's Fetters,Commander Legends,20,Near Mint,English,,,,,,,,$0.00
1,0,Faith's Fetters,Core Set 2021,17,Near Mint,English,,,,,,,,$0.00
1,0,Faithful Mending,Innistrad: Double Feature,221,Near Mint,English,,,,,,,,$0.00
2,0,Falcon Abomination,Innistrad: Midnight Hunt,52,Near Mint,English,,,,,,,,$0.00
1,0,Falkenrath Celebrants,Innistrad: Double Feature,423,Near Mint,English,,,,,,,,$0.00
1,0,Falkenrath Celebrants,Innistrad: Crimson Vow,156,Near Mint,English,,,,,,,,$0.00
1,0,Falkenrath Celebrants,Innistrad: Crimson Vow,306,Near Mint,English,,,,,,,,$0.00
1,0,Falkenrath Perforator,Innistrad: Midnight Hunt,136,Near Mint,English,,,,,,,,$0.00
2,0,Falkenrath Reaver,Welcome Deck 2017,21,Near Mint,English,,,,,,,,$0.00
1,0,Fall from Favor,Commander Legends,68,Near Mint,English,,,,,,,,$0.00
2,0,Famished Foragers,Innistrad: Midnight Hunt,138,Near Mint,English,,,,,,,,$0.00
1,0,Fanatic of Xenagos,Friday Night Magic,173,Near Mint,English,foil,,,,,,,$0.00
3,0,Fang of Shigeki,Kamigawa: Neon Dynasty,183,Near Mint,English,,,,,,,,$0.00
1,0,Fang of Shigeki,Kamigawa: Neon Dynasty,347,Near Mint,English,,,,,,,,$0.00
1,0,Fangblade Brigand // Fangblade Eviscerator,Innistrad: Midnight Hunt,139,Near Mint,English,,,,,,,,$0.00
1,0,Farewell,Kamigawa: Neon Dynasty,13,Near Mint,English,,,,,,,,$0.00
1,0,Farewell,Kamigawa: Neon Dynasty,436,Near Mint,English,,,,,,,,$0.00
1,0,Fast // Furious,Modern Horizons 2,123,Near Mint,English,,,,,,,,$0.00
1,0,Fated Intervention,Magic 2015 Clash Pack Promos,2,Near Mint,English,foil,,,,,,,$0.00
1,0,Fates' Reversal,Adventures in the Forgotten Realms,102,Near Mint,English,,,,,,,,$0.00
1,0,Fathom Fleet Cutthroat,Ixalan,107,Near Mint,English,,,,,,,,$0.00
1,0,Fathom Mage,Commander Legends,445,Near Mint,English,,,,,,,,$0.00
5,0,Favor of Jukai,Kamigawa: Neon Dynasty,184,Near Mint,English,,,,,,,,$0.00
1,0,Favored of Iroas,Theros Beyond Death,15,Near Mint,English,,,,,,,,$0.00
1,0,Fear of Death,Innistrad: Double Feature,326,Near Mint,English,,,,,,,,$0.00
1,0,Fearful Villager // Fearsome Werewolf,Innistrad: Crimson Vow,157,Near Mint,English,,,,,,,,$0.00
1,0,Fearless Halberdier,Guilds of Ravnica,100,Near Mint,English,,,,,,,,$0.00
1,0,Feebleness,Time Spiral Remastered,116,Near Mint,English,,,,,,,,$0.00
1,0,Feed the Serpent,Kaldheim,95,Near Mint,English,,,,,,,,$0.00
2,0,Feed the Swarm,Zendikar Rising,102,Near Mint,English,,,,,,,,$0.00
1,0,Feign Death,Adventures in the Forgotten Realms,103,Near Mint,English,,,,,,,,$0.00
3,0,Fell Stinger,Innistrad: Crimson Vow,112,Near Mint,English,,,,,,,,$0.00
1,0,Fellwar Stone,Kamigawa: Neon Dynasty Commander,150,Near Mint,English,,,,,,,,$0.00
1,0,Feral Invocation,Jumpstart,396,Near Mint,English,,,,,,,,$0.00
1,0,Feral Maaka,Ravnica Allegiance,100,Near Mint,English,,,,,,,,$0.00
1,0,Feral Prowler,Jumpstart,397,Near Mint,English,,,,,,,,$0.00
1,0,Fertile Ground,Mystery Booster,1211,Near Mint,English,,,,,,,,$0.00
1,0,Feywild Trickster,Adventures in the Forgotten Realms,58,Near Mint,English,,,,,,,,$0.00
1,0,Field Creeper,Core Set 2019,234,Near Mint,English,,,,,,,,$0.00
1,0,Field of Ruin,Mystery Booster,1667,Near Mint,English,,,,,,,,$0.00
1,0,Field of Ruin,Theros Beyond Death,242,Near Mint,English,,,,,,,,$0.00
4,0,Field Research,Zendikar Rising,58,Near Mint,English,,,,,,,,$0.00
1,0,Field Research,Zendikar Rising,58,Near Mint,English,foil,,,,,,,$0.00
1,0,Field Trip,Strixhaven: School of Mages,131,Near Mint,English,,,,,,,,$0.00
1,0,Fierce Retribution,Innistrad: Double Feature,280,Near Mint,English,,,,,,,,$0.00
4,0,Fierce Retribution,Innistrad: Crimson Vow,13,Near Mint,English,,,,,,,,$0.00
1,0,Fiery Cannonade,Commander Legends,178,Near Mint,English,,,,,,,,$0.00
1,0,Fiery Confluence,Signature Spellbook: Chandra,3,Near Mint,English,,,,,,,,$0.00
1,0,Fiery Temper,Commander 2019,142,Near Mint,English,,,,,,,,$0.00
4,0,Fiery Temper,Shadows over Innistrad,156,Near Mint,English,,,,,,,,$0.00
2,0,Fifty Feet of Rope,Adventures in the Forgotten Realms,244,Near Mint,English,,,,,,,,$0.00
1,0,Fin-Clade Fugitives,Commander Legends,227,Near Mint,English,,,,,,,,$0.00
1,0,Final Death,Theros Beyond Death,95,Near Mint,English,,,,,,,,$0.00
3,0,Final Flare,Theros Beyond Death,134,Near Mint,English,,,,,,,,$0.00
1,0,Final Payment,Ravnica Allegiance,171,Near Mint,English,,,,,,,,$0.00
2,0,Find the Path,Adventures in the Forgotten Realms,183,Near Mint,English,,,,,,,,$0.00
2,0,Fire Elemental,Core Set 2019,141,Near Mint,English,,,,,,,,$0.00
1,0,Fireflux Squad,Commander 2020,51,Near Mint,English,,,,,,,,$0.00
1,0,Firmament Sage,Innistrad: Midnight Hunt,53,Near Mint,English,,,,,,,,$0.00
1,0,Firmament Sage,Innistrad: Midnight Hunt,53,Near Mint,English,foil,,,,,,,$0.00
2,0,First Day of Class,Strixhaven: School of Mages,102,Near Mint,English,,,,,,,,$0.00
3,0,Flame Discharge,Kamigawa: Neon Dynasty,142,Near Mint,English,,,,,,,,$0.00
1,0,Flame Lash,Kaladesh,266,Near Mint,English,,,,,,,,$0.00
1,0,Flame Rift,Nemesis,80,Near Mint,English,,,,,,,,$0.00
4,0,Flameblade Adept,Amonkhet,131,Near Mint,English,,,,,,,,$0.00
1,0,Flamescroll Celebrant // Revel in Silence,Strixhaven: School of Mages,150,Near Mint,English,,,,,,,,$0.00
1,0,Flametongue Yearling,Modern Horizons 2,125,Near Mint,English,,,,,,,,$0.00
1,0,Flametongue Yearling,Modern Horizons 2,350,Near Mint,English,,,,,,,,$0.00
2,0,Flamewake Phoenix,Fate Reforged,100,Near Mint,English,,,,,,,,$0.00
1,0,Flare of Faith,Innistrad: Midnight Hunt,19,Near Mint,English,,,,,,,,$0.00
1,0,Flash,Masters 25,57,Near Mint,English,,,,,,,,$0.00
1,0,Flawless Maneuver,Commander 2020,26,Near Mint,English,,,,,,,,$0.00
2,0,Flaxen Intruder // Welcome Home,Throne of Eldraine,155,Near Mint,English,,,,,,,,$0.00
1,0,Flay Essence,Modern Horizons 2,85,Near Mint,English,,,,,,,,$0.00
1,0,Flayer of the Hatebound,Commander 2019,144,Near Mint,English,,,,,,,,$0.00
1,0,Flaying Tendrils,Friday Night Magic,196,Near Mint,English,foil,,,,,,,$0.00
2,0,Fleeting Spirit,Innistrad: Crimson Vow,14,Near Mint,English,,,,,,,,$0.00
1,0,Fleshtaker,Innistrad: Double Feature,222,Near Mint,English,,,,,,,,$0.00
1,0,Flicker of Fate,Theros Beyond Death,16,Near Mint,English,,,,,,,,$0.00
1,0,Fling,Amonkhet,132,Near Mint,English,,,,,,,,$0.00
1,0,Fling,Throne of Eldraine,126,Near Mint,English,,,,,,,,$0.00
1,0,Flip the Switch,Innistrad: Double Feature,54,Near Mint,English,,,,,,,,$0.00
2,0,Flip the Switch,Innistrad: Midnight Hunt,54,Near Mint,English,,,,,,,,$0.00
2,0,Floodhound,Modern Horizons 2,42,Near Mint,English,,,,,,,,$0.00
1,0,Floodhound,Modern Horizons 2,335,Near Mint,English,,,,,,,,$0.00
1,0,"Florian, Voldaren Scion",Innistrad: Midnight Hunt,223,Near Mint,English,,,,,,,,$0.00
1,0,Flourishing Fox,Ikoria: Lair of Behemoths,13,Near Mint,English,,,,,,,,$0.00
1,0,Flourishing Hunter,Innistrad: Double Feature,466,Near Mint,English,,,,,,,,$0.00
2,0,Flourishing Hunter,Innistrad: Crimson Vow,199,Near Mint,English,,,,,,,,$0.00
2,0,Flourishing Strike,Modern Horizons 2,159,Near Mint,English,,,,,,,,$0.00
2,0,Flummoxed Cyclops,Theros Beyond Death,135,Near Mint,English,,,,,,,,$0.00
1,0,Flunk,Strixhaven: School of Mages,71,Near Mint,English,,,,,,,,$0.00
1,0,Flutterfox,The List,656,Near Mint,English,,,,,,,,$0.00
1,0,Flutterfox,Throne of Eldraine,12,Near Mint,English,,,,,,,,$0.00
1,0,Fly,Adventures in the Forgotten Realms,59,Near Mint,English,,,,,,,,$0.00
1,0,Fodder Tosser,Modern Horizons 2,226,Near Mint,English,,,,,,,,$0.00
1,0,Foreboding Statue // Forsaken Thresher,Innistrad: Crimson Vow,256,Near Mint,English,,,,,,,,$0.00
8,0,Forest,Unsanctioned,95,Near Mint,English,,,,,,,,$0.00
1,0,Forest,Unsanctioned,96,Near Mint,English,foil,,,,,,,$0.00
1,0,Forest,Unsanctioned,96,Near Mint,English,,,,,,,,$0.00
15,0,Forest,Commander Legends,510,Near Mint,English,,,,,,,,$0.00
1,0,Forest,Adventures in the Forgotten Realms,278,Near Mint,English,foil,,,,,,,$0.00
1,0,Forest,Adventures in the Forgotten Realms,281,Near Mint,English,foil,,,,,,,$0.00
1,0,Forever Young,Throne of Eldraine,89,Near Mint,English,,,,,,,,$0.00
1,0,Forging the Tyrite Sword,Kaldheim,211,Near Mint,English,foil,,,,,,,$0.00
1,0,Forgotten Cave,Commander 2019,243,Near Mint,English,,,,,,,,$0.00
1,0,Fortify,Time Spiral Remastered,18,Near Mint,English,,,,,,,,$0.00
1,0,Foul Orchard,Rivals of Ixalan,188,Near Mint,English,,,,,,,,$0.00
1,0,Foulmire Knight // Profane Insight,Throne of Eldraine,90,Near Mint,English,,,,,,,,$0.00
1,0,Foundation Breaker,Modern Horizons 2,160,Near Mint,English,,,,,,,,$0.00
1,0,Foundry Helix,Modern Horizons 2,196,Near Mint,English,,,,,,,,$0.00
1,0,Foundry Inspector,Kamigawa: Neon Dynasty Commander,152,Near Mint,English,,,,,,,,$0.00
1,0,Fractal Summoning,Strixhaven: School of Mages,187,Near Mint,English,,,,,,,,$0.00
1,0,Fracture,Strixhaven: School of Mages,378,Near Mint,English,foil,,,,,,,$0.00
1,0,Frenzied Devils,Innistrad: Crimson Vow,159,Near Mint,English,,,,,,,,$0.00
1,0,Frenzied Goblin,Friday Night Magic,176,Near Mint,English,foil,,,,,,,$0.00
1,0,Frogify,Throne of Eldraine,47,Near Mint,English,,,,,,,,$0.00
1,0,From Under the Floorboards,Commander 2019,113,Near Mint,English,,,,,,,,$0.00
1,0,Frontier Warmonger,Commander 2020,52,Near Mint,English,,,,,,,,$0.00
1,0,Frontline Medic,Commander 2020,89,Near Mint,English,,,,,,,,$0.00
2,0,Frontline Rebel,Aether Revolt,82,Near Mint,English,,,,,,,,$0.00
1,0,Frost Lynx,Iconic Masters,57,Near Mint,English,foil,,,,,,,$0.00
5,0,Frost Trickster,Strixhaven: School of Mages,43,Near Mint,English,,,,,,,,$0.00
1,0,Frost Walker,Friday Night Magic,181,Near Mint,English,foil,,,,,,,$0.00
1,0,Frostboil Snarl,Strixhaven: School of Mages,360,Near Mint,English,,,,,,,,$0.00
1,0,Frostpeak Yeti,Kaldheim,57,Near Mint,English,,,,,,,,$0.00
1,0,Frostveil Ambush,Ikoria: Lair of Behemoths,52,Near Mint,English,,,,,,,,$0.00
1,0,Frostwalk Bastion,Modern Horizons,240,Near Mint,English,,,,,,,,$0.00
2,0,Fruit of Tizerus,Theros Beyond Death,96,Near Mint,English,,,,,,,,$0.00
1,0,Fry,Core Set 2020,140,Near Mint,English,,,,,,,,$0.00
1,0,Fumiko the Lowblood,Commander 2020,152,Near Mint,English,,,,,,,,$0.00
1,0,Fuming Effigy,Strixhaven: School of Mages,103,Near Mint,English,,,,,,,,$0.00
1,0,Funeral Longboat,Kaldheim,238,Near Mint,English,,,,,,,,$0.00
2,0,Funeral Rites,Theros Beyond Death,97,Near Mint,English,,,,,,,,$0.00
1,0,Furious Rise,Core Set 2021,144,Near Mint,English,,,,,,,,$0.00
1,0,Furnace Whelp,Mystery Booster,941,Near Mint,English,,,,,,,,$0.00
2,0,Furycalm Snarl,Strixhaven: School of Mages,266,Near Mint,English,,,,,,,,$0.00
3,0,Futurist Operative,Kamigawa: Neon Dynasty,53,Near Mint,English,,,,,,,,$0.00
3,0,Futurist Operative,Kamigawa: Neon Dynasty,333,Near Mint,English,,,,,,,,$0.00
9,0,Futurist Sentinel,Kamigawa: Neon Dynasty,54,Near Mint,English,,,,,,,,$0.00
1,0,Galedrifter // Waildrifter,Innistrad: Midnight Hunt,55,Near Mint,English,,,,,,,,$0.00
1,0,Galestrike,Commander Legends,70,Near Mint,English,,,,,,,,$0.00
1,0,Galvanic Iteration,Innistrad: Midnight Hunt,224,Near Mint,English,foil,,,,,,,$0.00
1,0,Game-Trail Changeling,Mystery Booster Retail Edition Foils,67,Near Mint,English,,,,,,,,$0.00
3,0,Garenbrig Carver // Shield's Might,Throne of Eldraine,156,Near Mint,English,,,,,,,,$0.00
1,0,Garenbrig Squire,Throne of Eldraine,158,Near Mint,English,,,,,,,,$0.00
1,0,Gargadon,Modern Horizons 2,351,Near Mint,English,,,,,,,,$0.00
3,0,"Gargos, Vicious Watcher",Media Inserts,177,Near Mint,English,,,,,,,,$0.00
1,0,"Garna, the Bloodflame",Commander 2020,213,Near Mint,English,,,,,,,,$0.00
1,0,Gate to the Afterlife,The List,565,Near Mint,English,,,,,,,,$0.00
1,0,Gatekeeper Gargoyle,Guilds of Ravnica,235,Near Mint,English,,,,,,,,$0.00
1,0,Gateway Plaza,Ravnica Allegiance,247,Near Mint,English,,,,,,,,$0.00
1,0,Gather the Townsfolk,WPN/Gateway,79,Near Mint,English,foil,,,,,,,$0.00
1,0,Gavony Dawnguard,Innistrad: Midnight Hunt,20,Near Mint,English,,,,,,,,$0.00
1,0,Gavony Dawnguard,Innistrad: Midnight Hunt,387,Near Mint,English,foil,,,,,,,$0.00
1,0,Gavony Dawnguard,Innistrad: Midnight Hunt,387,Near Mint,English,,,,,,,,$0.00
2,0,Gavony Silversmith,Innistrad: Midnight Hunt,21,Near Mint,English,,,,,,,,$0.00
2,0,Gavony Trapper,Innistrad: Midnight Hunt,22,Near Mint,English,,,,,,,,$0.00
1,0,Geier Reach Sanitarium,Commander 2019,246,Near Mint,English,,,,,,,,$0.00
1,0,Geistlight Snare,Innistrad: Double Feature,327,Near Mint,English,,,,,,,,$0.00
2,0,Geistlight Snare,Innistrad: Crimson Vow,60,Near Mint,English,,,,,,,,$0.00
1,0,Geistwave,Innistrad: Midnight Hunt,56,Near Mint,English,,,,,,,,$0.00
1,0,General's Enforcer,"",,Near Mint,English,,,,,,,,$0.00
1,0,Generous Gift,Kamigawa: Neon Dynasty Commander,84,Near Mint,English,,,,,,,,$0.00
1,0,Geomancer's Gambit,Modern Horizons,125,Near Mint,English,,,,,,,,$0.00
4,0,Geothermal Kami,Kamigawa: Neon Dynasty,186,Near Mint,English,,,,,,,,$0.00
1,0,"Geralf, Visionary Stitcher",Innistrad: Crimson Vow,61,Near Mint,English,,,,,,,,$0.00
1,0,"Geth, Lord of the Vault",Commander 2019,114,Near Mint,English,,,,,,,,$0.00
1,0,Ghastly Gloomhunter,Zendikar Rising,103,Near Mint,English,,,,,,,,$0.00
1,0,Ghitu Chronicler,Dominaria,125,Near Mint,English,,,,,,,,$0.00
1,0,Ghoulcaller's Harvest,Innistrad: Midnight Hunt,225,Near Mint,English,,,,,,,,$0.00
2,0,Ghoulish Procession,Innistrad: Midnight Hunt,102,Near Mint,English,,,,,,,,$0.00
1,0,Giant Mantis,Battle for Zendikar,173,Near Mint,English,,,,,,,,$0.00
1,0,Gift of Fangs,Innistrad: Double Feature,380,Near Mint,English,,,,,,,,$0.00
5,0,Gift of Fangs,Innistrad: Crimson Vow,113,Near Mint,English,,,,,,,,$0.00
1,0,Gift of Strength,Ravnica Allegiance,127,Near Mint,English,,,,,,,,$0.00
3,0,Gift of Strength,Theros Beyond Death,171,Near Mint,English,,,,,,,,$0.00
3,0,Gift of Wrath,Kamigawa: Neon Dynasty,143,Near Mint,English,,,,,,,,$0.00
1,0,Gifted Aetherborn,Jumpstart,239,Near Mint,English,,,,,,,,$0.00
1,0,Gilded Assault Cart,Kaldheim,390,Near Mint,English,,,,,,,,$0.00
1,0,Gilded Goose,Throne of Eldraine,160,Near Mint,English,,,,,,,,$0.00
1,0,Gilded Light,Modern Horizons,12,Near Mint,English,foil,,,,,,,$0.00
1,0,Gilded Sentinel,Ixalan,239,Near Mint,English,,,,,,,,$0.00
1,0,Gilt-Blade Prowler,Modern Horizons 2,86,Near Mint,English,,,,,,,,$0.00
1,0,Giltgrove Stalker,Rivals of Ixalan,131,Near Mint,English,,,,,,,,$0.00
1,0,Gingerbrute,Throne of Eldraine,219,Near Mint,English,,,,,,,,$0.00
1,0,Glacial Floodplain,Kaldheim,257,Near Mint,English,,,,,,,,$0.00
1,0,Glacial Grasp,Zendikar Rising,59,Near Mint,English,,,,,,,,$0.00
2,0,Gleam of Battle,Dragon's Maze,73,Near Mint,English,,,,,,,,$0.00
2,0,Glimmer Bairn,Modern Horizons 2,163,Near Mint,English,,,,,,,,$0.00
1,0,Glimmer Bairn,Modern Horizons 2,413,Near Mint,English,,,,,,,,$0.00
1,0,Glimpse of Freedom,Theros Beyond Death,50,Near Mint,English,,,,,,,,$0.00
1,0,Glinting Creeper,Modern Horizons 2,164,Near Mint,English,foil,,,,,,,$0.00
1,0,Gloom Pangolin,Ikoria: Lair of Behemoths,89,Near Mint,English,,,,,,,,$0.00
1,0,Gloom Sower,Core Set 2021,100,Near Mint,English,,,,,,,,$0.00
1,0,Gloom Stalker,Adventures in the Forgotten Realms,16,Near Mint,English,,,,,,,,$0.00
4,0,Gloomshrieker,Kamigawa: Neon Dynasty,219,Near Mint,English,,,,,,,,$0.00
1,0,Gloomwidow,Shadows over Innistrad,206,Near Mint,English,,,,,,,,$0.00
1,0,Glorious Anthem,Core Set 2021,21,Near Mint,English,,,,,,,,$0.00
3,0,Glory Bearers,Theros Beyond Death,17,Near Mint,English,,,,,,,,$0.00
2,0,Gluttonous Guest,Innistrad: Crimson Vow,114,Near Mint,English,,,,,,,,$0.00
2,0,Gluttonous Guest,Innistrad: Crimson Vow,292,Near Mint,English,,,,,,,,$0.00
1,0,Gluttonous Slug,Modern Horizons,93,Near Mint,English,,,,,,,,$0.00
1,0,Gnarled Professor,Strixhaven: School of Mages,133,Near Mint,English,,,,,,,,$0.00
1,0,Gnarled Sage,Core Set 2021,187,Near Mint,English,,,,,,,,$0.00
1,0,Gnarlid Colony,Zendikar Rising,185,Near Mint,English,,,,,,,,$0.00
3,0,Go-Shintai of Ancient Wars,Kamigawa: Neon Dynasty,144,Near Mint,English,,,,,,,,$0.00
2,0,Go-Shintai of Boundless Vigor,Kamigawa: Neon Dynasty,187,Near Mint,English,,,,,,,,$0.00
2,0,Go-Shintai of Hidden Cruelty,Kamigawa: Neon Dynasty,97,Near Mint,English,,,,,,,,$0.00
2,0,Go-Shintai of Lost Wisdom,Kamigawa: Neon Dynasty,55,Near Mint,English,,,,,,,,$0.00
3,0,Go-Shintai of Shared Purpose,Kamigawa: Neon Dynasty,14,Near Mint,English,,,,,,,,$0.00
1,0,Go-Shintai of Shared Purpose,Kamigawa: Neon Dynasty,14,Near Mint,English,foil,,,,,,,$0.00
1,0,Goblin Anarchomancer,Modern Horizons 2,200,Near Mint,English,foil,,,,,,,$0.00
1,0,Goblin Anarchomancer,Modern Horizons 2,421,Near Mint,English,,,,,,,,$0.00
